i,average stops
752,15.1455
753,15.55
754,15.5305
755,15.272
756,15.4105
757,16.306499
758,15.5405
759,15.6355
760,15.1825
761,15.66
762,15.677
763,15.3775
764,15.5325
765,15.0205
766,15.7025
767,15.953
768,15.4165
769,15.741
770,15.92
771,15.1105
772,15.158
773,15.359
774,16.268
775,15.8245
776,16.398001
777,15.873
778,16.245001
779,15.704
780,15.835
781,15.623
782,16.244499
783,15.9805
784,16.334999
785,15.7565
786,15.7675
787,15.1995
788,16.004999
789,16.532
790,15.995
791,15.4675
792,16.506001
793,15.4995
794,15.8125
795,15.5985
796,15.895
797,15.944
798,15.705
799,16.337999
800,16.690001
801,16.237499
802,15.961
803,15.5625
804,15.947
805,16.117001
806,15.5335
807,16.289499
808,15.9415
809,15.925
810,15.525
811,16.738001
812,15.9475
813,15.859
814,17.235001
815,15.319
816,16.296499
817,16.271
818,16.7955
819,16.098
820,16.248501
821,15.908
822,15.8615
823,15.7025
824,17.073999
825,16.141001
826,15.895
827,16.0655
828,16.482
829,16.236
830,16.6
831,16.150999
832,16.3815
833,16.507
834,16.446501
835,15.68
836,16.129499
837,16.914
838,16.610001
839,16.2255
840,16.087999
841,16.3475
842,16.976
843,16.568501
844,15.743
845,16.631001
846,16.186501
847,16.229
848,16.908001
849,16.561001
850,16.724001
851,16.018
852,16.701
853,16.752001
854,16.5175
855,16.365999
856,16.7185
857,16.9065
858,15.9855
859,16.1845
860,16.302
861,17.242001
862,16.672001
863,16.552
864,16.912001
865,17.153
866,17.0765
867,15.8515
868,16.84
869,16.113501
870,15.8745
871,16.517
872,16.804001
873,16.441999
874,16.648001
875,16.726
876,17.337
877,16.3785
878,17.225
879,16.9995
880,17.055
881,16.302
882,17.1105
883,16.2155
884,16.783001
885,17.381001
886,16.980499
887,17.195999
888,16.774
889,17.2915
890,17.043501
891,16.360001
892,17.3965
893,16.936001
894,17.172001
895,15.7245
896,16.782
897,16.275
898,17.479
899,16.651501
900,17.806
901,16.087
902,17.2815
903,16.636999
904,17.1255
905,17.3165
906,17.726
907,16.748501
908,17.355
909,17.127501
910,16.9995
911,17.459
912,17.1355
913,17.424999
914,16.471001
915,16.719
916,17.636499
917,17.198
918,16.643
919,17.5725
920,17.424
921,16.476999
922,17.310499
923,17.511999
924,17.2745
925,17.606001
926,17.6455
927,17.459
928,17.455999
929,17.1975
930,17.7055
931,17.446501
932,17.304501
933,17.0385
934,17.369499
935,17.0035
936,17.466499
937,17.247999
938,17.559999
939,16.911501
940,17.330999
941,16.656
942,17.086
943,17.612
944,17.754499
945,17.861
946,17.162001
947,17.2425
948,17.793501
949,17.361
950,18.181999
951,17.750999
952,17.3295
953,17.499001
954,17.75
955,17.855499
956,17.344
957,18.467501
958,17.761
959,17.746
960,17.5105
961,17.698
